island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year,species
Torgersen,39.100 ,18.700 ,181.000 ,3750.000 ,male,2007,Adelie
Torgersen,40.100 ,19.700 ,182.000 ,3751.000 ,female,2007,Adelie
Torgersen,41.100 ,20.700 ,183.000 ,3752.000 ,female,2007,Adelie
Torgersen,42.100 ,21.700 ,184.000 ,3753.000 ,female,2007,Adelie
Torgersen,43.100 ,22.700 ,185.000 ,3754.000 ,male,2007,Adelie
Torgersen,44.100 ,23.700 ,186.000 ,3755.000 ,female,2007,Adelie
Torgersen,45.100 ,24.700 ,187.000 ,3756.000 ,male,2007,Adelie
Torgersen,46.100 ,25.700 ,188.000 ,3757.000 ,NA,2007,Adelie
Torgersen,47.100 ,26.700 ,189.000 ,3758.000 ,NA,2007,Adelie
Torgersen,48.100 ,27.700 ,190.000 ,3759.000 ,NA,2007,Adelie
Torgersen,49.100 ,28.700 ,191.000 ,3760.000 ,NA,2007,Adelie
Torgersen,50.100 ,29.700 ,192.000 ,3761.000 ,female,2007,Adelie
Torgersen,51.100 ,30.700 ,193.000 ,3762.000 ,male,2007,Adelie
Torgersen,52.100 ,31.700 ,194.000 ,3763.000 ,male,2007,Adelie
Torgersen,53.100 ,32.700 ,195.000 ,3764.000 ,female,2007,Adelie
Torgersen,54.100 ,33.700 ,196.000 ,3765.000 ,female,2007,Adelie
Torgersen,55.100 ,34.700 ,197.000 ,3766.000 ,male,2007,Adelie
Torgersen,56.100 ,35.700 ,198.000 ,3767.000 ,female,2007,Adelie
Torgersen,57.100 ,36.700 ,199.000 ,3768.000 ,male,2007,Adelie
Biscoe,58.100 ,37.700 ,200.000 ,3769.000 ,female,2007,Adelie
Biscoe,59.100 ,38.700 ,201.000 ,3770.000 ,male,2007,Adelie
Biscoe,60.100 ,39.700 ,202.000 ,3771.000 ,female,2007,Adelie
Biscoe,61.100 ,40.700 ,203.000 ,3772.000 ,male,2007,Adelie
Biscoe,62.100 ,41.700 ,204.000 ,3773.000 ,male,2007,Adelie
Biscoe,63.100 ,42.700 ,205.000 ,3774.000 ,female,2007,Adelie
Biscoe,64.100 ,43.700 ,206.000 ,3775.000 ,male,2007,Adelie
Biscoe,65.100 ,44.700 ,207.000 ,3776.000 ,female,2007,Adelie
Biscoe,66.100 ,45.700 ,208.000 ,3777.000 ,female,2007,Adelie
Biscoe,67.100 ,46.700 ,209.000 ,3778.000 ,male,2007,Adelie
Dream,68.100 ,47.700 ,210.000 ,3779.000 ,female,2007,Adelie
Dream,69.100 ,48.700 ,211.000 ,3780.000 ,male,2007,Adelie
Dream,70.100 ,49.700 ,212.000 ,3781.000 ,female,2007,Adelie
Dream,71.100 ,50.700 ,213.000 ,3782.000 ,male,2007,Adelie
Dream,72.100 ,51.700 ,214.000 ,3783.000 ,female,2007,Adelie
Dream,73.100 ,52.700 ,215.000 ,3784.000 ,male,2007,Adelie
Dream,74.100 ,53.700 ,216.000 ,3785.000 ,male,2007,Adelie
Dream,75.100 ,54.700 ,217.000 ,3786.000 ,female,2007,Adelie
Dream,76.100 ,55.700 ,218.000 ,3787.000 ,female,2007,Adelie
Dream,77.100 ,56.700 ,219.000 ,3788.000 ,male,2007,Adelie
Dream,78.100 ,57.700 ,220.000 ,3789.000 ,female,2007,Adelie
Dream,79.100 ,58.700 ,221.000 ,3790.000 ,male,2007,Adelie
Dream,80.100 ,59.700 ,222.000 ,3791.000 ,female,2007,Adelie
Dream,81.100 ,60.700 ,223.000 ,3792.000 ,male,2007,Adelie
Dream,82.100 ,61.700 ,224.000 ,3793.000 ,female,2007,Adelie
Dream,83.100 ,62.700 ,225.000 ,3794.000 ,male,2007,Adelie
Dream,84.100 ,63.700 ,226.000 ,3795.000 ,male,2007,Adelie
Dream,85.100 ,64.700 ,227.000 ,3796.000 ,NA,2007,Adelie
Dream,86.100 ,65.700 ,228.000 ,3797.000 ,female,2007,Adelie
Dream,87.100 ,66.700 ,229.000 ,3798.000 ,male,2007,Adelie
Biscoe,88.100 ,67.700 ,230.000 ,3799.000 ,female,2008,Adelie
Biscoe,89.100 ,68.700 ,231.000 ,3800.000 ,male,2008,Adelie
Biscoe,90.100 ,69.700 ,232.000 ,3801.000 ,female,2008,Adelie
Biscoe,91.100 ,70.700 ,233.000 ,3802.000 ,male,2008,Adelie
Biscoe,92.100 ,71.700 ,234.000 ,3803.000 ,female,2008,Adelie
Biscoe,93.100 ,72.700 ,235.000 ,3804.000 ,male,2008,Adelie
Biscoe,94.100 ,73.700 ,236.000 ,3805.000 ,female,2008,Adelie
Biscoe,95.100 ,74.700 ,237.000 ,3806.000 ,male,2008,Adelie
Biscoe,96.100 ,75.700 ,238.000 ,3807.000 ,female,2008,Adelie
Biscoe,97.100 ,76.700 ,239.000 ,3808.000 ,male,2008,Adelie
Biscoe,98.100 ,77.700 ,240.000 ,3809.000 ,female,2008,Adelie
